SNo.,EID,ENTITY NAME,TYPE,SWIFT
1,003,Abu Dhabi Commercial Bank,BK,ADCBAEAAXXX
2,004,Al Ahli Bank Of Kuwait K.S.C.,BK,ABKKAEADXXX
3,005,Rafidain Bank,BK,RAFBAEADXXX
4,007,Arab African International Bank,BK,ARAIAEADXXX
5,008,Al Masraf,BK,ABINAEAAXXX
6,009,Arab Bank,BK,ARABAEADXXX
7,010,Bank Melli Iran,BK,MELIAEADXXX
8,011,Bank of Baroda,BK,BARBAEADXXX
9,012,Bank of Sharjah,BK,SHARAEASXXX
10,013,Bank Saderat Iran,BK,BSIRAEADXXX
11,014,Banque Banorient France,BK,BLOMAEADXXX
12,015,Banque Misr,BK,BMISAEAAXXX
13,016,Credit Agricole Corporate and Investment Bank,BK,BSUIAEADXXX
14,017,Al Khaliji France S.A.,BK,LICOAEADXXX
15,018,BNP Paribas,BK,BNPAAEAAXXX
16,019,Barclays Bank,BK,BARCAEADXXX
17,020,HSBC Bank Middle East,BK,BBMEAEADXXX
18,021,Citibank NA,BK,CITIAEADXXX
19,022,Commercial Bank International PSC,BK,CLBIAEADXXX
20,023,Commercial Bank of Dubai,BK,CBDUAEADXXX
21,024,Dubai Islamic Bank,BK,DUIBAEADXXX
22,025,El Nilein Bank,BK,NILBAEAAXXX
23,026,EmiratesNBD Bank PJSC,BK,EBILAEADXXX
24,027,First Abu Dhabi Bank - Erstwhile FGB,BK,FGBMAEAAXXX
25,028,Habib Bank Limited,BK,HABBAEADXXX
26,029,Habib Bank AG Zurich,BK,HBZUAEADXXX
27,030,Investbank PSC,BK,IBTFAEASXXX
28,031,Janata Bank,BK,JANBAEAAXXX
29,032,Lloyds TSB,BK,LOYDAEADXXX
30,033,Mashreqbank,BK,BOMLAEADXXX
31,034,Emirates Islamic Bank PJSC,BK,MEBLAEADXXX
32,035,First Abu Dhabi Bank,BK,NBADAEAAXXX
33,036,National Bank Of Bahrain,BK,NBOBAEAAXXX
34,038,National Bank Of Fujairah,BK,NBFUAEAFXXX
35,039,National Bank of Oman,BK,NBOMAEADXXX
36,040,RAK Bank,BK,NRAKAEAKXXX
37,041,Sharjah Islamic Bank,BK,NBSHAEASXXX
38,042,National Bank Of Umm Al Qaiwain,BK,UMMQAEADXXX
39,043,Industrial and Commercial Bank of China,BK,ICBKAEAAXXX
40,044,Standard Chartered Bank,BK,SCBLAEADXXX
41,045,ABUDHABI COMMERCIAL BANK Erstwhile UNB,BK,UNBEAEAAXXX
42,046,United Arab Bank,BK,UARBAEAAXXX
43,047,United Bank Ltd.,BK,UNILAEADXXX
44,048,Emirates Investment Bank,BK,AEINAEADXXX
45,049,Deutsche Bank,BK,DEUTAEAAXXX
46,050,Abu Dhabi Islamic Bank,BK,ABDIAEADXXX
47,051,Emirates Islamic Bank PJSC (Erstwhile Dubai Bank),BK,DBXPAEADXXX
48,052,Dubai Islamic Bank - Erstwhile Noor Bank,BK,NISLAEADXXX
49,053,Al Hilal Bank,BK,HLALAEAAXXX
50,054,Doha Bank,BK,DOHBAEADXXX
51,055,The Saudi National Bank,BK,SAMBAEADXXX
52,056,National Bank Of Kuwait,BK,NBOKAEADXXX
53,057,Ajman Bank,BK,AJMNAEAJXXX
54,058,Ministry of Civil Service,CB,E058XXXXXXX
55,059,Ministry of Health - Dubai,CB,E059XXXXXXX
56,060,Department of Finance - Govt. of Abu Dhabi,SC,E060XXXXXXX
57,061,Diwan of HHSultanBinZayedAlNahyan (PR),CB,E061XXXXXXX
58,062,Representative of Western Region,CB,E062XXXXXXX
59,063,Ministry of Education Dubai,CB,E063XXXXXXX
60,064,Ministry of Foreign and International Cooperation,CB,E064XXXXXXX
61,065,Ministry of Interior,SC,E065XXXXXXX
62,066,Ministry of Education,CB,E066XXXXXXX
63,067,Ministry of Health and Prevention Society,CB,E067XXXXXXX
64,068,Ministry of Finance and Industry,CB,E068XXXXXXX
65,069,Ministry of Economy,CB,E069XXXXXXX
66,070,Ministry of Energy & Industry,CB,E070XXXXXXX
67,071,Ministry of Cabinet Affairs,CB,E071XXXXXXX
68,072,Ministry of Human Resources and Resettlement,CB,E072XXXXXXX
69,073,Ministry of Energy & Infrastructure,CB,E073XXXXXXX
70,074,Ministry of Justice,CB,E074XXXXXXX
71,075,Ministry of climate change and the environment ,CB,E075XXXXXXX
72,076,Ministry of Higher Education & Scientific Research,CB,E076XXXXXXX
73,077,Ministry of DV.F G.S,CB,E077XXXXXXX
74,078,Ministry of Community Development,SC,E078XXXXXXX
75,079,Ministry of Culture and Youth,CB,E079XXXXXXX
76,080,Ministry of State for Federal National Council Affairs,CB,E080XXXXXXX
77,081,FH LLC,FC,FHOUAEADXXX
78,082,Deem Finance,FC,E082XXXXXXX
79,083,Aafaq Islamic Finance PSC,FC,E083XXXXXXX
80,084,Mawarid Finance,FC,E084XXXXXXX
81,085,MAF Finance,FC,E085XXXXXXX
82,086,Wio Bank PJSC,BK,WIOBAEADXXX
83,088,FH LLC - Erstwhile Finance House LLC,FC,E088XXXXXXX
84,089,KEB HANA Bank,BK,KOEXAEADXXX
85,090,Bank Of China,BK,BKCHAEAAXXX
86,091,MCB Bank Limited,BK,MUCBAEADXXX
87,093,INTESA SANPAOLO,BK,BCITAEABXXX
88,094,BOK International Bank,BK,BOKMAEADXXX
89,096,ZAND BANK,BK,ZANDAEAAXXX
90,097,Al Maryah Community Bank,BK,E097AEXXXXX
91,098,Agricultural Bank of China,BK,ABOCAEAAXXX
92,099,Bank Alfalah Limited,BK,ALFHAEADXXX
93,100,Dubai First,BK,DUBFAEDBXXX
94,101,Reem Finance PJSC,FC,E101XXXXXXX
95,110,Samaa Finance PSC,FC,E110XXXXXXX
96,113,SIRAJ FINANCE PJSC,FC,SRAJAEAAXXX
97,114,Al Futtaim Finance Co PvJSC,FC,E114XXXXXXX
98,118,AMEX (American Express),FC,AMEXAEADXXX
99,120,Al Ain Finance PJSC,FC,E120AEADXXX
100,130,International Development Bank,BK,IDBQAEADXXX
101,131,MTS Bank P.J.S.C - Liquidation Account,CB,E131AEXXXXX
102,132,Ruya Community Islamic Bank LLC,BK,E132AEXXXXX
103,150,NATIONALBONDS,FC,E150AEXXXXX
104,205,Al Ahalia Money Exchange Bureau,EX,E205XXXXXXX
105,206,Al Ansari Exchange,EX,ALANAEAAXXX
106,209,Al Bader Exchange,EX,E209XXXXXXX
107,211,Al Dahab Exchange,EX,E211XXXXXXX
108,213,Al Dhahery Exchange,EX,E213XXXXXXX
109,215,Al Fardan Exchange,EX,FEXEAEAAXXX
110,216,Al Fuad Exchange,EX,ALFXAEADXXX
111,218,Al Ghurair Exchange,EX,E218XXXXXXX
112,219,Al Ghurair International Exchange,EX,E219XXXXXXX
113,232,Al Razouki International Exchange Co. LLC ,EX,E232XXXXXXX
114,233,Al Zari & Al Fardan Exchange LLC,EX,E233XXXXXXX
115,235,Joy Alukkas Exchange,EX,E235XXXXXXX
116,236,Arabian Exchange Co.,EX,E236XXXXXXX
117,245,City Exchange - LLC,EX,E245XXXXXXX
118,246,Deniba International Exchange,EX,E246XXXXXXX
119,250,Dubai Express Exchange,EX,E250XXXXXXX
120,252,Emirates India International Exchange,EX,EIIEAEADXXX
121,254,First Gulf Exchange Centre,EX,E254XXXXXXX
122,258,Index Exchange Co. LLC,EX,E258XXXXXXX
123,259,Hadi Express Exchange,EX,E259XXXXXXX
124,267,Lari Exchange,EX,LAEEAEAAXXX
125,268,LM Exchange,EX,E268XXXXXXX
126,269,Malik Exchange,EX,E269XXXXXXX
127,270,Multinet Trust Exchange - LLC,EX,E270XXXXXXX
128,273,National Exchange Co.,EX,E273XXXXXXX
129,274,OASIS EXCHANGE,EX,E274AEXXXXX
130,275,Orient Exchange Co.- LLC,EX,OECOAEADXXX
131,277,Redha Al Ansari Exchange Est.,EX,E277XXXXXXX
132,279,Saad Exchange,EX,E279XXXXXXX
133,281,Sajwani Exchange,EX,E281XXXXXXX
134,290,Al Rostamani International Exchange,EX,E290XXXXXXX
135,291,UAE Exchange Center LLC,EX,UAEXAEAAXXX
136,293,Universal Exchange Centre,EX,UECEAEADXXX
137,294,Wall Street Exchange Centre LLC,EX,WSEEAEADXXX
138,301,GCC Exchange,EX,E301XXXXXXX
139,302,Economic Exchange Centre,EX,E302XXXXXXX
140,303,Belhasa Global Exchange,EX,E303XXXXXXX
141,311,Alfa Exchange ,EX,E311XXXXXXX
142,312,Delma Exchange,EX,E312XXXXXXX
143,313,Sharaf Exchange LLC,EX,E313XXXXXXX
144,314,Lulu Exchange,EX,LULUAEADXXX
145,316,Al Jaber Exchange,EX,E316XXXXXXX
146,317,Send Exchange,EX,E317XXXXXXX
147,318,OMDA Exchange,EX,E318XXXXXXX
148,320,Al Dhafra Exchange,EX,E320XXXXXXX
149,321,Unimoni Exchange LLC,EX,E321XXXXXXX
150,334,Al Jazira Exchange,EX,E334XXXXXXX
151,337,Capital Exchange ,EX,E337XXXXXXX
152,342,Federal Exchange (Erstwhile Noor Ahalia Exchange),EX,E342XXXXXXX
153,413,PayBy Technologies Project LLC,EX,E413AEXXXXX
154,451,BUNA (AMF),BK,BUNNAEAAXXX
155,735,Federal Tax Authority  Taxation of Corporations & Businesses ,MN,E735AEXXXXX
156,736,Emirates Drug Establishment,FD,E736AEXXXXX
157,737,MOE Scholarships - Republic of the Comoros Students,MN,E737AEXXXXX
158,738,MOE Scholarships - Bahrain Kingdom Students,MN,E738AEXXXXX
159,739,MOE Scholarships - Graduates of the Nasser Center,MN,E739AEXXXXX
160,741,MOE Scholarships - Republic Tunisia,MN,E741AEXXXXX
161,742,Cyber Security Executive Office,MN,E742AEXXXXX
162,751,DFM for Divident Payments,SC,E751XXXXXXX
163,752,DFM PG SETTLEMENT A/C,BK,E752AEXXXXX
164,781,eDirham,MN,E781AEXXXXX
165,789,Fee related to GRC Insurance Industry,BK,E789AEXXXXX
166,790,ABU DHABI SECURITIES EXCHANGE,BK,E790AEXXXXX
167,792,Abu Dhabi Fund for Development,FD,E792AEXXXXX
168,793,Federal Judicial Control Office,FD,E793AEXXXXX
169,794,Abu Dhabi Developmental Holding Company PJSC (ADQ),FD,E794AEXXXXX
170,795,MOF - USD BOND,FD,E795AEXXXXX
171,796,THE SUPREME COUNCIL FOR NATIONAL SECURITY,FD,E796AEXXXXX
172,797,Ministry of Finance-Federal Government General Cash Reserve,FD,E797AEXXXXX
173,798,National R&D Leadership Training Program,FD,E798AEXXXXX
174,800,Federal Agency for Early Education,FD,E800AEXXXXX
175,801,General Pension & Social Security Authority (GPSSA) ,SC,E801XXXXXXX
176,803,Central Bank Of Kuwait,SC,CBKUKWKWXXX
177,804,CENTRAL BANK OF KUWAIT K-NET,SC,E804XXXXXXX
178,805,CENTRAL BANK ALGERIES,SC,E805XXXXXXX
179,806,CENTRAL BANK MAGHRIB,SC,E806XXXXXXX
180,807,CENTRAL BANK TUNISIA,SC,E807XXXXXXX
181,808,BMA Benefit (002),SC,E808XXXXXXX
182,809,EMIRATES DEVELOPMENT BANK,BK,EMDVAEADXXX
183,810,FEDERAL CUSTOMS,SC,E810XXXXXXX
184,811,CENTRAL BANK QATAR,SC,QMAGQAQAXXX
185,812,CENTRAL BANK OMAN OMANNET(002),SC,CBOMOMRUXXX
186,813,SAMA,SC,SAMASARIXXX
187,814,DUBAI GOVT,SC,E814XXXXXXX
188,815,Ministry of International Co-operation and Development,CB,E815XXXXXXX
189,816,National Media Council,CB,E816XXXXXXX
190,817,Gen Auth of Islamic Affairs and Endowments,CB,E817XXXXXXX
191,818,Federal Authority for Government Human Resources,MN,E818XXXXXXX
192,819,Emirates Authority for Standardization and Meterology,SC,E819XXXXXXX
193,820,Federal Customs Authority,SC,E820XXXXXXX
194,821,Institute of Training and Judicial Studies,CB,E821XXXXXXX
195,822,Federal Competitiveness and statistics authority,SC,E822XXXXXXX
196,823,National Council for Tourism & Antiquities,CB,E823XXXXXXX
197,824,UAE Federal Government - Ministry of Finance,SC,E824XXXXXXX
198,825,National Human Resource Development & Employment Authority,CB,E825XXXXXXX
199,827,UAE Space Agency,SC,E827XXXXXXX
200,828,Ministry of Finance - Special Value Added Tax Federal (VATF),SC,E828XXXXXXX
201,829,Ministry of Finance - Special Value Added Tax Local Governments (VATLG),SC,E829XXXXXXX
202,830,THE GENERAL SECRETARIAT-MOPA,SC,E830XXXXXXX
203,831,MINISTER OF STATE (H.E.DR.MAITHA SALEM AL SHAMSI ),SC,E831AEXXXXX
204,832,MINISTER OF STATE (H.E.ZAKI ANWAR NUSSEIBEH),CB,E832AEXXXXX
205,834,Federal Customs Authority-FATF,FD,E834AEXXXXX
206,836,Khalifa Fund,SC,E836XXXXXXX
207,837,Ministry of Finance Special Excise Tax Local Governments (ETLG),MN,E837AEXXXXX
208,838,Ministry of Finance  Special Excise Tax Federal (ETF),MN,E838AEXXXXX
209,839,Federal Transport Authority Land and Maritime,MN,E839AEXXXXX
210,841,Ministry of State for Tolerance,MN,E841XXXXXXX
211,843,MINISTRY OF FINANCE  COLLECTION OF REVENUES & PUBLIC FUNDS,MN,E843AEXXXXX
212,844,VICE PRESIDENT OFFICE FOR POLITICAL AFFAIRS,MN,E844AEXXXXX
213,845,FEDERAL TAX AUTHORITY / EXPENSES,SC,E845AEXXXXX
214,846,National Human Resources Development Fund,MN,E846AEXXXXX
215,849,Ministry of Industry and Advanced Technology,CB,E849AEXXXXX
216,850,GPSSA-Salary & Payments,SC,E850XXXXXXX
217,851,GPSSA-Pension Contribution & Disbursements,FC,E851XXXXXXX
218,852,GPSSA UAE MOF,SC,E852XXXXXXX
219,854,GPSSA - DDS,FD,E854AEXXXXX
220,856,Abu Dhabi Pension Fund,BK,E856AEXXXXX
221,857,Federal Authority for Identity and Citizenship,MN,E857AEXXXXX
222,858,General Authority of Sports,FD,E858AEXXXXX
223,859,Emirates Health Services Establishment,MN,E859AEXXXXX
224,861,Committee For Goods and Materials Subject To Import and Export Control,FD,E861AEXXXXX
225,862,Ministry of Finance  Govt Bonds,MN,E862AEXXXXX
226,863,Corporate Social Responsibility Fund,MN,E863AEXXXXX
227,866,Emirates Investment Authority,CB,E866XXXXXXX
228,867,MOF - Federal Expenditure - 198,CB,E867XXXXXXX
229,868,Federal Tax Authority,BK,E868AEXXXXX
230,870,Emirates Diplomatic Academy,MN,E870AEXXXXX
231,871,MOCCAE- Facility for production of Refuse derived fuel (RDF),MN,E871AEXXXXX
232,872,Federal Geographic Information Center,SC,E872AEXXXXX
233,873,Federal Tax Authority  Unregistered Tax Payers,BK,E873AEXXXXX
234,874,SWISS NATIONAL BANK,SC,E874AEXXXXX
235,876,Emirates News Agency   WAM,MN,E876AEXXXXX
236,878,Ministry of Finance - E11 Collection,MN,E878AEXXXXX
237,879,Emirates School Establishment- Donations,MN,E879AEXXXXX
238,881,Ministry of Economy  FATF,MN,E881AEXXXXX
239,882,Emirates School Establishment,MN,E882AEXXXXX
240,883,Ministry of Justice   FATF,MN,E883AEXXXXX
241,884,Ministry of Finance - Investment Income,MN,E884AEXXXXX
242,885,Ministry of Finance - Pension Contribution Income,MN,E885AEXXXXX
243,886,Ministry of Finance - Surplus from Federal Entities,MN,E886AEXXXXX
244,887,Ministry of Finance - Custody,MN,E887AEXXXXX
245,888,Diwan Ministry of Interior,SC,E888XXXXXXX
246,889,Executive Office of the Anti-Money Laundering and Countering the Financing of Terrorism,MN,E889AEXXXXX
247,892,INSURANCE SECTOR - FEES AND CHARGES COLLECTIONS,BK,E892AEXXXXX
248,893,NATIONAL BANK OF ETHIOPIA,SC,E893AEXXXXX
249,894,International Monetary Fund,MN,E894XXXXXXX
250,896,IBRD,SC,E896XXXXXXX
251,897,Central Bank Of Turkmenistan,SC,E897XXXXXXX
252,898,CENTRAL BANK OF IRAN,SC,BMJIIRTHXXX
253,899,SUNDRY CREDITS CB PAYMENTS,SC,E899XXXXXXX
254,900,CB Staff and Vendor Payments,CB,E900XXXXXXX
255,902,CB Pension Payment,CB,E902XXXXXXX
256,903,Central Bank Pension Receivables,SC,E903XXXXXXX
257,904,EXP POOL ACCOUNT,CB,E904AEXXXXX
258,905,MOIAT - Sponsorship Account for Events,MN,E905AEXXXXX
259,906,Emiratization Penalties,MN,E906AEXXXXX
260,907,Emirates Media Council ,FD,E907AEXXXXX
261,910,Payable for Training Insurance Companies Contribution,SC,E910AEXXXXX
262,911,Payable for Training Banks Contribution,MN,E911AEXXXXX
263,912,Minister of State - H.E Jaber Mohamed Ghanem Alsuwaidi,FD,E912AEXXXXX
264,913,MOF - SUKUK,FD,E913AEXXXXX
265,914,Diwan - Ministry of Defence,FD,E914AEXXXXX
266,916,Ministry of Human Resources & Emiratization - NAFIS,FD,E916AEXXXXX
267,919,DDS Market Place(DDMP)  NBF,FC,E919AEXXXXX
268,921,AP- Intermediary account  Mbill,BK,E921AEXXXXX
269,922,MOHRE-Projects Management Committee,FD,E922AEXXXXX
270,923,Emirates Health Services Establishment-Donations,FD,E923AEXXXXX
271,924,National Counseling Center,FD,E924AEXXXXX
272,925,Higher Committee Overseeing the National Strategy on Anti- Money Laundering and Countering,FD,E925AEXXXXX
273,926,Ministry of Industry and Advanced Technology - Additional Fund,FD,E926AEXXXXX
274,927,Ministry of Culture & Youth - Additional Fund,FD,E927AEXXXXX
275,928,Federal Authority For Government Human Resources - Projects Managements,FD,E928AEXXXXX
276,929,Fee related to Grievance and Appeals Committee,SC,E929AEXXXXX
277,930,BCCI ABU DHABI,BK,E930AEXXXXX
278,931,Federal Tax Authority - Corporate Tax,MN,E931AEXXXXX
279,932,Ministry of Energy and Infrastructure- Gasoline Fees Account,MN,E932AEXXXXX
280,933,ISO Annual Meetings,MN,E933AEXXXXX
281,934,UAE SPACE AGENCY - Project Sponsorship,MN,E934AEXXXXX
282,935,Central Bank of the Republic of Turkey,MN,E935AEXXXXX
283,936,Nursery- Emirates Health Services Establishment,MN,E936AEXXXXX
284,937,Ministry of Justice - Developing the Judicial System,MN,E937AEXXXXX
285,938,Ministry of Community Development-Inflation Allowances,FD,E938AEXXXXX
286,939,Ministry of Economy-Family Business Program Project,MN,E939AEXXXXX
287,940,Ministry of Finance - Emirates Real Estate Corporation,MN,E940AEXXXXX
288,941,MOI-FORCE 71,MN,E941AEXXXXX
289,942,Ministry of Economy-Thessaloniki International Exhibtion 2022,MN,E942AEXXXXX
290,944,National Space Fund,FD,E944AEXXXXX
291,970,CBUAE Payment Gateway Settlement System,SC,E970XXXXXXX
292,984,Ministry of Investment,FD,E984AEXXXXX
293,986,Conventional M-Bills ,FD,E986AEXXXXX
294,987,Unclaimed Funds Management Account,BK,E987XXXXXXX
295,990,UAESLR Penalties Collection Account,CB,E990AEXXXXX
296,991,UAE CBDC Clearing and Settlement,BK,E991AEXXXXX
297,995,Payments and Refunds for CB services,BK,E995AEXXXXX
298,998,UAEFTS CB102 REJECTIONS SETTLEMENT ACCOUNT,SC,E998XXXXXXX
